2019-09-19 16:40:59,923 ib_insync.client INFO Connecting to 127.0.0.1:3000 with clientId 0...
2019-09-19 16:40:59,925 ib_insync.client INFO Connected
2019-09-19 16:40:59,933 ib_insync.client INFO Logged on to server version 151
2019-09-19 16:41:00,462 ib_insync.client ERROR Peer closed connection
2019-09-19 16:41:00,463 ib_insync.client ERROR clientId 0 already in use?
2019-09-19 16:41:01,916 ib_insync.client ERROR API connection failed: CancelledError()
2019-09-19 16:41:01,918 ib_insync.client INFO Connecting to 127.0.0.1:3000 with clientId 1...
2019-09-19 16:41:01,919 ib_insync.client INFO Connected
2019-09-19 16:41:01,936 ib_insync.client INFO Logged on to server version 151
2019-09-19 16:41:01,937 ib_insync.client INFO API connection ready
2019-09-19 16:41:01,937 ib_insync.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:hfarm
2019-09-19 16:41:01,937 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:hkhmds
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:fundfarm
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2019-09-19 16:41:01,938 ib_insync.wrapper INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2019-09-19 16:41:01,944 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373120320, symbol='ACC', lastTradeDateOrContractMonth='20190926', strike=1460.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ACC19SEP1460PE', tradingClass='ACC'), position=-400.0, marketPrice=15.3999996, marketValue=-6160.0, averageCost=18.0798535, unrealizedPNL=1071.94, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,946 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373178424, symbol='APOLLOTYR', lastTradeDateOrContractMonth='20190926', strike=165.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='APOLLOTYRE19SEP165PE', tradingClass='APOLLOTYRE'), position=-3000.0, marketPrice=0.8174333, marketValue=-2452.3, averageCost=1.24194585, unrealizedPNL=1273.54, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,947 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373178432, symbol='APOLLOTYR', lastTradeDateOrContractMonth='20190926', strike=167.5, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='APOLLOTYRE19SEP167.5PE', tradingClass='APOLLOTYRE'), position=-3000.0, marketPrice=1.14307465, marketValue=-3429.22, averageCost=0.79244535, unrealizedPNL=-1051.89, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,947 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373178442, symbol='APOLLOTYR', lastTradeDateOrContractMonth='20190926', strike=170.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='APOLLOTYRE19SEP170PE', tradingClass='APOLLOTYRE'), position=-3000.0, marketPrice=1.5087726, marketValue=-4526.32, averageCost=1.54161285, unrealizedPNL=98.52, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,947 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373134830, symbol='ARVIND', lastTradeDateOrContractMonth='20190926', strike=60.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ARVIND19SEP60CE', tradingClass='ARVIND'), position=-6000.0, marketPrice=0.22236395, marketValue=-1334.18, averageCost=0.49611165, unrealizedPNL=1642.49, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,947 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373161410, symbol='ASHOKLEY', lastTradeDateOrContractMonth='20190926', strike=55.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ASHOKLEY19SEP55PE', tradingClass='ASHOKLEY'), position=-6000.0, marketPrice=0.724241, marketValue=-4345.45, averageCost=0.64594515, unrealizedPNL=-469.78, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,948 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373161416, symbol='ASHOKLEY', lastTradeDateOrContractMonth='20190926', strike=57.5, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='ASHOKLEY19SEP57.5PE', tradingClass='ASHOKLEY'), position=-6000.0, marketPrice=1.4, marketValue=-8400.0, averageCost=0.84572315, unrealizedPNL=-3325.66, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,948 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373162296, symbol='AXISBANK', lastTradeDateOrContractMonth='20190926', strike=610.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='AXISBANK19SEP610PE', tradingClass='AXISBANK'), position=-1200.0, marketPrice=2.8048055, marketValue=-3365.77, averageCost=2.78022535, unrealizedPNL=-29.5, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,948 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373174426, symbol='BAJAJ-AUT', lastTradeDateOrContractMonth='20190926', strike=2600.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BAJAJ-AUTO19SEP2600PE', tradingClass='BAJAJ-AUTO'), position=-250.0, marketPrice=9.8362913, marketValue=-2459.07, averageCost=10.6081232, unrealizedPNL=192.96, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,948 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373174435, symbol='BAJAJ-AUT', lastTradeDateOrContractMonth='20190926', strike=2650.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BAJAJ-AUTO19SEP2650PE', tradingClass='BAJAJ-AUTO'), position=-250.0, marketPrice=18.1000004, marketValue=-4525.0, averageCost=11.90668, unrealizedPNL=-1548.33, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,949 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373143612, symbol='BALKRISIN', lastTradeDateOrContractMonth='20190926', strike=780.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BALKRISIND19SEP780CE', tradingClass='BALKRISIND'), position=-800.0, marketPrice=3.2113602, marketValue=-2569.09, averageCost=6.268007, unrealizedPNL=2445.32, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,949 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373134977, symbol='BANKBAROD', lastTradeDateOrContractMonth='20190926', strike=85.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BANKBARODA19SEP85PE', tradingClass='BANKBARODA'), position=-4500.0, marketPrice=0.35, marketValue=-1575.0, averageCost=0.34516705, unrealizedPNL=-21.75, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,949 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373122563, symbol='BATAINDIA', lastTradeDateOrContractMonth='20190926', strike=1500.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BATAINDIA19SEP1500PE', tradingClass='BATAINDIA'), position=-550.0, marketPrice=10.7588625, marketValue=-5917.37, averageCost=8.15453435, unrealizedPNL=-1432.38, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,949 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373166489, symbol='BEL', lastTradeDateOrContractMonth='20190926', strike=105.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BEL19SEP105PE', tradingClass='BEL'), position=-6000.0, marketPrice=2.6303282, marketValue=-15781.97, averageCost=1.94450215, unrealizedPNL=-4114.96, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,950 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373168251, symbol='BERGEPAIN', lastTradeDateOrContractMonth='20190926', strike=350.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BERGEPAINT19SEP350PE', tradingClass='BERGEPAINT'), position=-2200.0, marketPrice=1.21834255, marketValue=-2680.35, averageCost=0.2406316, unrealizedPNL=-2150.96, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,950 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373168294, symbol='BERGEPAIN', lastTradeDateOrContractMonth='20190926', strike=380.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BERGEPAINT19SEP380CE', tradingClass='BERGEPAINT'), position=-2200.0, marketPrice=1.01960685, marketValue=-2243.14, averageCost=3.1374126, unrealizedPNL=4659.17, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,950 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373127066, symbol='BHARATFOR', lastTradeDateOrContractMonth='20190926', strike=360.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHARATFORG19SEP360PE', tradingClass='BHARATFORG'), position=-1200.0, marketPrice=0.87919315, marketValue=-1055.03, averageCost=0.23305585, unrealizedPNL=-775.36, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,950 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373127075, symbol='BHARATFOR', lastTradeDateOrContractMonth='20190926', strike=370.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHARATFORG19SEP370PE', tradingClass='BHARATFORG'), position=-1200.0, marketPrice=1.9404607, marketValue=-2328.55, averageCost=0.63261185, unrealizedPNL=-1569.42, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,951 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376123415, symbol='BHARATFOR', lastTradeDateOrContractMonth='20191031', strike=310.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHARATFORG19OCT310PE', tradingClass='BHARATFORG'), position=-1200.0, marketPrice=0.35, marketValue=-420.0, averageCost=0.23305585, unrealizedPNL=-140.33, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,951 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373156968, symbol='BHARTIART', lastTradeDateOrContractMonth='20190926', strike=310.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHARTIARTL19SEP310PE', tradingClass='BHARTIARTL'), position=-1851.0, marketPrice=0.678915, marketValue=-1256.67, averageCost=2.28664205, unrealizedPNL=2975.9, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,951 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376115801, symbol='BHARTIART', lastTradeDateOrContractMonth='20191031', strike=410.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHARTIARTL19OCT410CE', tradingClass='BHARTIARTL'), position=-1851.0, marketPrice=1.04999995, marketValue=-1943.55, averageCost=0.83825155, unrealizedPNL=-391.95, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,951 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=374551735, symbol='BHEL', lastTradeDateOrContractMonth='20190926', strike=46.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BHEL19SEP46PE', tradingClass='BHEL'), position=-7500.0, marketPrice=0.60676555, marketValue=-4550.74, averageCost=0.34694485, unrealizedPNL=-1948.66, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,952 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373178849, symbol='BRITANNIA', lastTradeDateOrContractMonth='20190926', strike=2600.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BRITANNIA19SEP2600PE', tradingClass='BRITANNIA'), position=-200.0, marketPrice=37.95000075, marketValue=-7590.0, averageCost=20.077578, unrealizedPNL=-3574.48, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,952 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373178886, symbol='BRITANNIA', lastTradeDateOrContractMonth='20190926', strike=2850.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BRITANNIA19SEP2850CE', tradingClass='BRITANNIA'), position=-200.0, marketPrice=3.6511171, marketValue=-730.22, averageCost=3.89556, unrealizedPNL=48.89, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,952 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376114899, symbol='BRITANNIA', lastTradeDateOrContractMonth='20191031', strike=3300.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BRITANNIA19OCT3300CE', tradingClass='BRITANNIA'), position=-200.0, marketPrice=3.04999995, marketValue=-610.0, averageCost=0.1497225, unrealizedPNL=-580.06, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,952 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373173739, symbol='BSOFT', lastTradeDateOrContractMonth='20190926', strike=57.5, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='BSOFT19SEP57.5PE', tradingClass='BSOFT'), position=-5100.0, marketPrice=0.2631315, marketValue=-1341.97, averageCost=0.24580095, unrealizedPNL=-88.39, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,953 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373123331, symbol='CANBK', lastTradeDateOrContractMonth='20190926', strike=180.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CANBK19SEP180PE', tradingClass='CANBK'), position=-2000.0, marketPrice=2.09265685, marketValue=-4185.31, averageCost=1.388446, unrealizedPNL=-1408.42, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,953 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373162074, symbol='CHOLAFIN', lastTradeDateOrContractMonth='20190926', strike=255.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CHOLAFIN19SEP255PE', tradingClass='CHOLAFIN'), position=-2500.0, marketPrice=2.9232428, marketValue=-7308.11, averageCost=1.8399465, unrealizedPNL=-2708.24, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,953 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373162083, symbol='CHOLAFIN', lastTradeDateOrContractMonth='20190926', strike=260.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CHOLAFIN19SEP260PE', tradingClass='CHOLAFIN'), position=-2500.0, marketPrice=5.36420965, marketValue=-13410.52, averageCost=2.089669, unrealizedPNL=-8186.35, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,953 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373162134, symbol='CHOLAFIN', lastTradeDateOrContractMonth='20190926', strike=295.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CHOLAFIN19SEP295CE', tradingClass='CHOLAFIN'), position=-2500.0, marketPrice=0.4318754, marketValue=-1079.69, averageCost=0.391556, unrealizedPNL=-100.8, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,953 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=376104650, symbol='CHOLAFIN', lastTradeDateOrContractMonth='20191031', strike=330.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CHOLAFIN19OCT330CE', tradingClass='CHOLAFIN'), position=-2500.0, marketPrice=0.75, marketValue=-1875.0, averageCost=0.2417225, unrealizedPNL=-1270.69, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,954 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373144106, symbol='CUMMINSIN', lastTradeDateOrContractMonth='20190926', strike=540.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='CUMMINSIND19SEP540PE', tradingClass='CUMMINSIND'), position=-700.0, marketPrice=3.8830333, marketValue=-2718.12, averageCost=3.86709955, unrealizedPNL=-11.15, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,954 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373164060, symbol='DABUR', lastTradeDateOrContractMonth='20190926', strike=485.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DABUR19SEP485CE', tradingClass='DABUR'), position=-1250.0, marketPrice=0.5, marketValue=-625.0, averageCost=0.2337225, unrealizedPNL=-332.85, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,954 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373164069, symbol='DABUR', lastTradeDateOrContractMonth='20190926', strike=490.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DABUR19SEP490CE', tradingClass='DABUR'), position=-1250.0, marketPrice=0.375, marketValue=-468.75, averageCost=0.2337225, unrealizedPNL=-176.6, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,954 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373179872, symbol='DHFL', lastTradeDateOrContractMonth='20190926', strike=35.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DHFL19SEP35PE', tradingClass='DHFL'), position=-4000.0, marketPrice=0.55594325, marketValue=-2223.77, averageCost=0.2462225, unrealizedPNL=-1238.88, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,955 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373179882, symbol='DHFL', lastTradeDateOrContractMonth='20190926', strike=40.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DHFL19SEP40PE', tradingClass='DHFL'), position=-4000.0, marketPrice=1.322749, marketValue=-5291.0, averageCost=1.494335, unrealizedPNL=686.34, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,955 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373179911, symbol='DHFL', lastTradeDateOrContractMonth='20190926', strike=60.0, right='C', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DHFL19SEP60CE', tradingClass='DHFL'), position=-8000.0, marketPrice=0.8260315, marketValue=-6608.25, averageCost=1.693113, unrealizedPNL=6936.65, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,955 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373150800, symbol='DISHTV', lastTradeDateOrContractMonth='20190926', strike=19.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DISHTV19SEP19PE', tradingClass='DISHTV'), position=-14000.0, marketPrice=1.0509217, marketValue=-14712.9, averageCost=0.34818295, unrealizedPNL=-9838.34, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,955 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373150810, symbol='DISHTV', lastTradeDateOrContractMonth='20190926', strike=20.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DISHTV19SEP20PE', tradingClass='DISHTV'), position=-14000.0, marketPrice=1.49346255, marketValue=-20908.48, averageCost=0.54796095, unrealizedPNL=-13237.02, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,956 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373144392, symbol='DLF', lastTradeDateOrContractMonth='20190926', strike=140.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DLF19SEP140PE', tradingClass='DLF'), position=-2800.0, marketPrice=0.98334605, marketValue=-2753.37, averageCost=1.14158065, unrealizedPNL=443.06, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,956 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373144403, symbol='DLF', lastTradeDateOrContractMonth='20190926', strike=145.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='DLF19SEP145PE', tradingClass='DLF'), position=-2800.0, marketPrice=1.65, marketValue=-4620.0, averageCost=1.29141415, unrealizedPNL=-1004.04, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,956 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373160257, symbol='EICHERMOT', lastTradeDateOrContractMonth='20190926', strike=14750.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='EICHERMOT19SEP14750PE', tradingClass='EICHERMOT'), position=-25.0, marketPrice=90.0, marketValue=-2250.0, averageCost=59.483012, unrealizedPNL=-762.92, realizedPNL=0.0, account='U9329809')
2019-09-19 16:41:01,956 ib_insync.wrapper INFO updatePortfolio: PortfolioItem(contract=Option(conId=373160267, symbol='EICHERMOT', lastTradeDateOrContractMonth='20190926', strike=15000.0, right='P', multiplier='1', primaryExchange='NSE', currency='INR', localSymbol='EICHERMOT19SEP15000PE', tradingClass='EICHERMOT'), position=-25.0, marketPrice=128.3500061, marketValue=-3208.75, averageCost=67.12452, unrealizedPNL=-1530.64, realizedPNL=-0.0, account='U9329809')
